epoch,times,loss,accuracy
0,5.095261573791504,2.2677879001520855,30.580000000000002
1,10.227418899536133,2.267337065708788,30.91
2,15.299847602844238,2.267246970647498,30.85
3,20.428600311279297,2.2671872573562815,31.290000000000003
4,25.476502418518066,2.2670726112172574,31.61
5,30.56072425842285,2.2670230593862413,31.869999999999997
6,35.64542007446289,2.2670104111297222,32.18
7,40.77894735336304,2.267010055010832,32.269999999999996
8,45.86554408073425,2.2670114613786527,32.21
9,50.98090219497681,2.2670074052448514,32.37
10,56.0534508228302,2.2669976662985887,32.41
11,61.19651770591736,2.2670227485367014,32.64
12,66.49501585960388,2.2669701696951177,33.300000000000004
13,71.55466723442078,2.2669442333752596,33.46
14,76.71896433830261,2.266931769214099,33.58
15,81.80708909034729,2.2669217858133437,33.839999999999996
16,86.89045763015747,2.266927278494533,34.08
17,92.19513726234436,2.2669090862515606,34.4
18,97.6826422214508,2.2669025916087477,34.78
19,102.8983805179596,2.2669042484669744,35.06
20,108.07819604873657,2.2668984268285053,35.39
21,113.27401828765869,2.2668897502029997,35.72
22,118.35221099853516,2.266882555394233,36.13
23,123.51131463050842,2.2668803854833675,36.47
24,128.62079763412476,2.266880071615871,36.720000000000006
25,133.69665384292603,2.2668765919117986,36.919999999999995
26,138.74716305732727,2.2668697381321388,36.93
27,144.17809391021729,2.2668617978880676,37.07
28,149.28593850135803,2.2668548264080965,37.059999999999995
29,154.3706920146942,2.2668492280984225,37.22
30,159.52584767341614,2.266844483870494,37.21
31,164.61530208587646,2.266840376431429,37.230000000000004
32,169.759131193161,2.266836465159549,37.25
33,174.87474465370178,2.2668331272994418,37.35
34,180.01576113700867,2.26683034172541,37.43
35,185.11353516578674,2.266828923285762,37.39
36,190.2523136138916,2.266829541966885,37.31
37,195.39081645011902,2.2668328073960318,37.330000000000005
38,200.51022601127625,2.2668378745453266,37.41
39,205.5598328113556,2.2668420272537424,37.35
40,210.67193007469177,2.266841834104514,37.36
41,215.7790813446045,2.2668351855459092,37.4
42,220.89989280700684,2.2668230292163316,37.45
43,225.98950862884521,2.2668085188805303,37.46
44,231.1072962284088,2.266794581956501,37.39
45,236.2482078075409,2.2667829658411724,37.44
46,241.36876559257507,2.2667719321914865,37.47
47,246.4753556251526,2.2667589851572543,37.5
48,251.58443927764893,2.266744680042508,37.55
49,256.727664232254,2.2667298286776,37.65
50,261.824303150177,2.266714053817942,37.69
51,266.91917061805725,2.2666982155811937,37.69
52,271.9724109172821,2.2666829235946078,37.7
53,277.05693888664246,2.2666687482519996,37.7
54,282.1378331184387,2.2666555507273616,37.7
55,287.2690713405609,2.266643122781681,37.74
56,292.3618550300598,2.2666315096843093,37.769999999999996
57,297.43469190597534,2.266621067554136,37.78
58,302.5133717060089,2.2666111777100384,37.85
59,307.5691387653351,2.266596434991571,37.95
