epoch,times,loss,accuracy
0,5.098181486129761,2.2683345456666584,36.7
1,10.230385303497314,2.2675469223457045,35.06
2,15.359492778778076,2.267167248303377,35.089999999999996
3,20.491880416870117,2.2669104533859445,35.22
4,25.712103366851807,2.266762718369689,35.449999999999996
5,30.908772230148315,2.26668217212339,35.699999999999996
6,36.14792513847351,2.266633776169789,36.04
7,41.28320598602295,2.266594385798973,36.43
8,46.4871141910553,2.2665582367136508,36.85
9,51.70310664176941,2.266525419452522,37.419999999999995
10,56.853171825408936,2.2664942831932744,37.72
11,62.044979095458984,2.2664666749254057,37.91
12,67.21267485618591,2.266442489020432,38.1
13,72.3735933303833,2.266422504111181,38.29
14,77.59838509559631,2.2664045472688312,38.4
15,82.77871417999268,2.2663883619670626,38.49
16,87.9450204372406,2.2663737792003005,38.67
17,93.06083941459656,2.2663602285747286,38.78
18,98.25261855125427,2.266346605518196,38.82
19,103.40807271003723,2.2663344129731384,38.91
20,108.55784964561462,2.2663212818435476,38.97
21,113.72778677940369,2.266307758379586,39.08
22,118.86922311782837,2.266295158410374,39.14
23,124.08180952072144,2.2662839316114596,39.17
24,129.23996543884277,2.2662741836113267,39.269999999999996
25,134.41463661193848,2.2662649486638324,39.269999999999996
26,139.56858563423157,2.266255596016027,39.290000000000006
27,144.69698476791382,2.266247263437585,39.32
28,149.80753827095032,2.2662396853483178,39.379999999999995
29,154.92751240730286,2.2662328436404846,39.36
30,160.06591033935547,2.2662258993221234,39.26
31,165.24150800704956,2.266219172296645,39.26
32,170.4108543395996,2.266212674635875,39.25
33,175.53704833984375,2.2662058299100853,39.269999999999996
34,180.65099024772644,2.2661989912202087,39.28
35,185.73144602775574,2.2661917088906978,39.290000000000006
36,190.942129611969,2.2661845593512813,39.290000000000006
37,196.04545378684998,2.2661777629127986,39.300000000000004
38,201.2645001411438,2.2661717239814467,39.269999999999996
39,206.41269946098328,2.266166207156604,39.269999999999996
40,211.57288765907288,2.2661614086054547,39.23
41,216.77942967414856,2.266157286076606,39.26
42,221.9454209804535,2.266153875785538,39.24
43,227.13331389427185,2.2661509393136714,39.21
44,232.2707371711731,2.2661485128764864,39.22
45,237.33072471618652,2.266146201121656,39.21
46,242.39846801757812,2.2661445653891263,39.14
47,247.50155401229858,2.266143020195297,39.18
48,252.6677885055542,2.2661423471909536,39.190000000000005
49,257.8101282119751,2.2661417375637005,39.18
50,262.9521951675415,2.2661410917209674,39.190000000000005
51,268.1508140563965,2.2661406088478957,39.15
52,273.32088136672974,2.2661399448974224,39.129999999999995
53,278.4678649902344,2.2661397094968,39.12
54,283.6583480834961,2.266139579724662,39.1
55,288.8582515716553,2.2661390757258935,39.07
56,294.03628182411194,2.266139063654067,39.08
57,299.1952304840088,2.2661384147933767,39.1
58,304.3422222137451,2.2661380435847027,39.1
59,309.4922137260437,2.2661377387710764,39.050000000000004
