epoch,times,loss,accuracy
0,4.665770769119263,2.2678664937804016,30.91
1,8.338912725448608,2.267366056200824,31.2
2,12.003030061721802,2.267254114151001,31.380000000000003
3,15.66691255569458,2.267191551908662,31.630000000000003
4,19.340151071548462,2.2671081989626343,32.16
5,23.01129984855652,2.267059136040603,32.08
6,26.687016010284424,2.2670283770259423,32.17
7,30.376174449920654,2.267010643512388,32.37
8,34.0818350315094,2.267005482806435,32.41
9,37.81889247894287,2.267004375216327,32.47
10,41.43524694442749,2.2670021962515916,32.48
11,45.04264569282532,2.2669981461537034,32.51
12,48.71118497848511,2.266992964322054,32.64
13,52.35421442985535,2.266987697987617,32.83
14,55.99085474014282,2.2669815413559538,33.09
15,59.654802322387695,2.266978269890894,33.239999999999995
16,63.34223675727844,2.266971247105659,33.39
17,67.07447814941406,2.2669662403154978,33.56
18,70.75200605392456,2.2669612244714665,33.650000000000006
19,74.41618633270264,2.266950782341293,33.73
20,78.09595465660095,2.2669540779500066,33.83
21,81.75126481056213,2.2669570234757437,33.77
22,85.3870587348938,2.2669597064392475,33.79
23,89.08114123344421,2.2669610615018048,33.910000000000004
24,92.69925904273987,2.266960300976717,33.96
25,96.35045409202576,2.266959881480736,34.0
26,99.9772117137909,2.2669600685940514,34.01
27,103.59103012084961,2.2669606359699106,34.0
28,107.19634413719177,2.266963744465309,34.13
29,110.81076765060425,2.266966898230058,34.160000000000004
30,114.42262935638428,2.2669672030436843,34.2
31,118.03906345367432,2.2669674082647395,34.19
32,121.62271928787231,2.2669701727130747,34.27
33,125.23831558227539,2.2669730850412875,34.300000000000004
34,128.86782050132751,2.2669720860976206,34.37
35,132.50821685791016,2.2669682261310045,34.410000000000004
36,136.1012728214264,2.2669637565371357,34.43
37,139.69984698295593,2.266959540451629,34.46
38,143.27524185180664,2.2669568725779086,34.48
39,146.9302842617035,2.2669555476949186,34.489999999999995
40,150.52176904678345,2.2669545396973816,34.52
41,154.12071013450623,2.2669528737852844,34.54
42,158.01377511024475,2.2669503839710092,34.54
43,161.68692326545715,2.2669464002681683,34.589999999999996
44,165.31289148330688,2.266942066482351,34.58
45,168.98438668251038,2.2669378322891043,34.599999999999994
46,172.6416141986847,2.2669335799881174,34.65
47,176.33355355262756,2.266928367976901,34.660000000000004
48,179.97039341926575,2.266922540302518,34.67
49,183.59333062171936,2.266915647289421,34.660000000000004
50,187.2724165916443,2.2669081687927246,34.67
51,190.9735369682312,2.266900083686732,34.71
52,194.70170521736145,2.2668918295751643,34.79
53,198.40532612800598,2.2668841277496723,34.81
54,202.13347125053406,2.266877237754532,34.849999999999994
55,205.83489274978638,2.266871573049811,34.89
56,209.57052898406982,2.2668673750720445,34.839999999999996
57,213.28236436843872,2.2668646921085407,34.870000000000005
58,217.0177342891693,2.266863572446606,34.870000000000005
59,220.71237421035767,2.266863717308527,34.94
