epoch,times,loss,accuracy
0,4.558470726013184,1.025753750831266,65.4
1,9.084535360336304,0.975356417366221,66.60000000000001
2,13.690220594406128,0.9532684646075285,67.19000000000001
3,18.229207515716553,0.9381601146504849,67.58999999999999
4,22.611603021621704,0.927175907394554,67.81
5,27.065083980560303,0.9162906555435325,68.12
6,31.50353240966797,0.9086858856527111,68.27
7,35.93028426170349,0.9010268593136268,68.49
8,40.35260772705078,0.8969494172289402,68.72
9,45.00885272026062,0.891461457632765,68.78
10,49.60733604431152,0.8872457297542428,68.93
11,54.180691719055176,0.8841155292112616,69.05
12,58.863197326660156,0.8808864792691001,69.16
13,63.40296721458435,0.8770125149926052,69.25
14,67.93388724327087,0.8741902776911289,69.34
15,72.4409556388855,0.8716760089125815,69.33
16,76.84611058235168,0.8693319668498221,69.42
17,81.30218935012817,0.8670831654645219,69.39
18,85.7442901134491,0.8651552743549589,69.47
19,90.2183187007904,0.8641484670246704,69.56
20,94.7301573753357,0.8641761126397531,69.5
21,99.41885948181152,0.8628083490118196,69.56
22,103.915372133255,0.8608152507981167,69.58
23,108.40375089645386,0.8594695597509795,69.71000000000001
24,112.91372060775757,0.8576047397867034,69.66
25,117.48341727256775,0.856159341863439,69.81
26,121.99415373802185,0.8557502136954779,69.74000000000001
27,126.5297954082489,0.8545285693452328,69.74000000000001
28,131.03569841384888,0.8536217842675462,69.78999999999999
29,135.60000610351562,0.8524433223507072,69.81
30,140.09161925315857,0.8519344178936149,69.77
31,144.70509243011475,0.850812809376777,69.84
32,149.23442387580872,0.8501848204980923,69.89999999999999
33,153.86906099319458,0.8500336793404591,69.83
34,158.40287828445435,0.8498864415325696,69.84
35,162.92675256729126,0.8481669576862191,69.89999999999999
36,167.44997000694275,0.8478058965145787,69.89999999999999
37,172.0262634754181,0.8468923048128055,69.92
38,176.52080821990967,0.8464699870423426,69.97
39,181.08100581169128,0.8461815941182873,70.0
40,185.5980463027954,0.8461087029191512,70.02000000000001
41,190.17128324508667,0.8455402492722378,70.04
42,194.71219754219055,0.8449023418788668,70.02000000000001
43,199.18569111824036,0.8443285098558739,70.12
44,203.6881194114685,0.8438692839839791,70.15
45,208.18292474746704,0.8433503229406816,70.16
46,212.59994077682495,0.8431772046451327,70.17999999999999
47,217.017511844635,0.8423472431641591,70.21
48,221.46090626716614,0.8413264653350734,70.21
49,225.92705035209656,0.8408635568015183,70.22
50,230.30992984771729,0.8407987009120893,70.21
51,234.77716708183289,0.8402411816995355,70.21
52,239.20308566093445,0.8395976137511337,70.24000000000001
53,243.62066960334778,0.8393711025201822,70.26
54,248.12602949142456,0.8389436164988747,70.26
55,252.60521292686462,0.8384132837947411,70.22
56,257.0257577896118,0.8377694257452518,70.28999999999999
57,261.4453275203705,0.8376027737991719,70.28999999999999
58,265.9480595588684,0.8375879182845731,70.3
59,270.51377725601196,0.8367979798135878,70.32000000000001
